testid,t_x,t_y,p_x,p_y,error
13-34,9.351095,50.636487,8.565600092914536,49.985493326686324,1.020193614835752
13-35,9.351095,50.636487,9.921327499116304,51.050846750285004,0.7048823346521552
14-26,9.351095,48.007968,10.706330824157563,51.17748010490052,3.447096041915709
14-27,9.351095,48.007968,9.442466986014526,47.34212368478112,0.6720844381009975
14-28,9.351095,48.007968,10.029918180741483,50.063921855636316,2.165120589532561
14-29,9.351095,48.007968,10.393861330084723,49.077537654100475,1.4937673393574293
14-30,9.351095,48.007968,10.448755681568784,48.314070995800705,1.1395428977885005
14-31,9.351095,48.007968,10.408641255359845,49.60412674631499,1.914713248939243
14-32,9.351095,48.007968,8.531878072709727,53.19085790769694,5.247233954119609
14-33,9.351095,48.007968,10.14820239448841,44.78463540943124,3.3204296691498842
14-34,9.351095,48.007968,9.318960313819657,51.584030702675484,3.576207081744933
14-35,9.351094999999997,48.007968,10.436577796632129,48.78094730803619,1.3325801711103251
15-26,9.162126,44.62844299999998,9.165484896946197,36.866622552899535,7.761821173875065
15-27,9.162126,44.62844299999999,11.145353701128926,35.466357247048215,9.374273703011184
15-28,9.162126,44.628443,9.096899118485398,41.19299935255236,3.4360628051391067
15-29,9.162126,44.62844299999998,8.296851388827694,40.99414047949854,3.735887439854489
15-30,9.162126,44.62844299999998,10.232790977196437,42.56715915167524,2.32276012467054
15-31,9.162126,44.62844299999998,9.688157484440236,43.09086552659906,1.6250703398106687
15-32,9.162126,44.62844299999999,8.983924744859591,44.26362953269187,0.40601053343846666
15-33,9.162126,44.62844299999998,7.4141960192884975,39.82138032058438,5.114988838824618
15-34,9.162126,44.62844299999998,10.823786696138079,35.19581337521232,9.577871261794657
15-35,9.162126,44.62844299999998,8.267436083988565,42.21250631126612,2.576280289445017
16-26,9.162126,41.06116700000001,10.208033221474835,39.41927148498987,1.9467261744127307
16-27,9.162126,41.06116699999999,9.62810057207035,42.02454293500315,1.0701520891720726
16-28,9.162126,41.06116700000001,9.95586568662897,37.882662262803336,3.2761127963657724
16-29,9.162126,41.061167,10.198443512641871,41.837151199535654,1.294644918476579
16-30,9.162126,41.061167,8.552594583836196,37.67369371890517,3.4418750380311613
16-31,9.162126,41.06116700000001,8.697331511659252,40.558352254975084,0.684731030556102
16-32,9.162126,41.06116700000001,10.41386986410915,41.83521870763693,1.4717400407104986
16-33,9.162126,41.061167,7.717110087092536,39.96551384056507,1.8134295779918024
16-34,9.162126,41.061167,8.297124267836768,44.42449946599081,3.4727846569335754
16-35,9.162126,41.06116700000001,11.827087278451017,43.81377195028615,3.831299078378383
17-26,9.266892,36.862216,7.891869534223705,38.88228716393066,2.44363955785908
17-27,9.266892000000002,36.862216,7.934239751693356,36.40633758530828,1.4084697880673875
17-28,9.266892,36.862216,8.096324943591538,36.663997053606124,1.1872312261132068
17-29,9.266892000000002,36.862216,10.489970175660398,32.21005959029717,4.8102473412617615
17-30,9.266892,36.862216,8.880738044127936,36.8528249874091,0.38626813064648063
17-31,9.266892,36.862216,8.538884928882455,36.85096494493381,0.7280940061813785
