testid,t_x,t_y,p_x,p_y,error
8-29,15.020160999999998,61.52606400000001,11.168626535473214,63.38941005183483,4.27859512460878
8-30,15.020160999999995,61.526064,15.374896856676799,60.332081953163936,1.2455643926265147
8-31,15.020160999999995,61.526064,15.37839512702574,60.31104821934751,1.2667261097018834
8-32,15.020160999999998,61.526064,15.396040506400809,60.57124079358825,1.026144609124135
8-33,15.020160999999998,61.526064,14.972531779562864,63.63777341662968,2.1122464825208986
8-34,15.020160999999998,61.52606400000001,15.406579325342022,60.61252851880266,0.9919002961823372
8-35,15.020160999999998,61.52606400000001,14.956701547203851,63.52364736547623,1.998591104797696
9-26,10.862846000000001,64.154583,15.157358407754764,54.55850025632956,10.513212679468122
9-27,10.862846,64.154583,14.272984990144696,50.422190224843746,14.149475582623861
9-28,10.862846,64.154583,15.401834283737054,60.44919379834116,5.859379128855905
9-29,10.862846,64.154583,15.357229473354536,60.01969491559136,6.10710915868932
9-30,10.862846000000005,64.154583,11.87334810525023,60.12831826347056,4.151135053613123
9-31,10.862846000000005,64.154583,11.78936432603749,59.74571740869206,4.505167256684533
9-32,10.862846000000005,64.154583,11.792862596386431,59.72468367487564,4.526470910134235
9-33,10.862846000000001,64.154583,15.392432216315896,60.331302210745505,5.927446944893006
9-34,10.862846000000001,64.154583,13.81204004974593,53.87658604092406,10.692753014721283
9-35,10.862846,64.154583,15.40065352432261,60.42140873405875,5.87607753758278
10-26,11.051815,60.96281,17.706318788416944,54.2942006326425,9.420868938928278
10-27,11.051815,60.96281000000001,17.704684231890706,54.30645026319598,9.411046379780727
10-28,11.051815,60.96281,15.725657843127363,48.67481225636084,13.146851161777635
10-29,11.051815,60.96281,17.747905627274122,54.34839742490249,9.412124276818513
10-30,11.051815,60.96281,13.911752432465274,53.78873493144068,7.723120820428777
10-31,11.051815,60.96281,15.220204027173835,65.27879667249735,6.000267330631028
10-32,11.051815,60.96281,17.702503344982755,54.10299098584105,9.554515810291281
10-33,11.051815,60.96281,10.48241387622472,53.19230553683798,7.79133860461586
10-34,11.051815,60.96281,10.448370370137809,53.110225514981124,7.875736696695023
10-35,11.051815,60.96281,13.89329205428322,53.40504739596973,8.074265751688905
11-26,9.351095,58.89754599999999,12.474340105728924,55.725176526288294,4.451807281116008
11-27,9.351095,58.89754599999999,12.307541639155513,58.710763157121754,2.9623410608111285
11-28,9.351095,58.897546,14.122549572502692,51.23758881601742,9.024506789731122
11-29,9.351095,58.897546,13.617079951992176,54.732985337542296,5.9617273605821515
11-30,9.351095,58.897546,14.086157452876012,56.44209975371439,5.333857206659576
11-31,9.351095,58.89754600000001,10.55799429770912,50.745272700428046,8.241126492520593
11-32,9.351095,58.89754600000001,10.902891607651966,50.77227745664989,8.272125580107884
11-33,9.351095,58.897546,14.446725882223925,58.482200108311076,5.112530322415411
11-34,9.351095,58.89754600000001,18.138077198276832,55.371461516882576,9.468068859852863
11-35,9.351095,58.89754600000001,14.096210679911577,50.908243580231435,9.292205118822052
12-26,9.162126,54.76701600000001,6.397851171373652,47.47564639357765,7.797774430286955
12-27,9.162126,54.76701600000001,12.125607207271043,47.96963179192209,7.41529857376463
12-28,9.162126,54.76701600000001,4.968198622517237,43.82833666629992,11.715107016716365
12-29,9.162126,54.76701600000001,16.611016810686635,52.25507318498231,7.861032439536862
12-30,9.162126,54.76701600000001,13.066203358218646,50.53363877455186,5.758758785701877
12-31,9.162126,54.76701600000001,5.65502935291468,54.06164890117541,3.5773271636937736
12-32,9.162126,54.76701600000001,10.063996935634455,51.16760816237392,3.7106748666659457
12-33,9.162126,54.76701600000001,12.805690228108055,53.340890911998,3.912721949101084
12-34,9.162126,54.76701600000001,7.454356886990005,49.83852232394605,5.215987467225629
12-35,9.162126,54.76701600000001,12.904045709802483,65.3079302222768,11.185384917650588
