,testid,timestamp,interval,t_building,t_floor,t_x,t_y,beacon_id,b_major,b_minor,b_floor,b_x,b_y,shapiro,mean,dev
14,13,0000-01-01 00:00:00,0,31,1.0,10.355779,62.313577,A0:E6:F8:69:9B:27,1000,514,1.0,7.757860905176678,59.80035305021886,0.115281842648983,-79.36363636363636,3.8676449793059358
15,13,0000-01-01 00:00:00,0,31,1.0,10.355779,62.313577,A0:E6:F8:69:F8:88,1000,531,1.0,26.04743432077296,66.67614347374641,0.5608696937561035,-88.7,5.8999999999999995
16,14,0000-01-01 00:00:00,0,31,1.0,9.0204,43.572864,A0:E6:F8:69:9F:A8,1000,503,2.0,8.136485433945664,32.07229239783894,0.30961939692497253,-94.7,5.21632054229799
17,15,0000-01-01 00:00:00,0,31,1.0,13.193462,30.636796999999998,A0:E6:F8:69:F4:0D,1000,575,1.0,29.50762144674296,28.859295811423603,0.4563596844673157,-94.18181818181819,2.587318085592311
18,15,0000-01-01 00:00:00,0,31,1.0,13.193462,30.636796999999998,A0:E6:F8:69:F9:DD,1000,569,2.0,7.6902480602030305,22.942882404540125,0.5977247953414917,-98.27272727272727,3.0775110690565013
19,16,0000-01-01 00:00:00,0,31,1.0,13.360384,38.708017,A0:E6:F8:69:9F:A8,1000,503,2.0,8.136485433945664,32.07229239783894,0.9064246416091919,-94.0,3.5300904324873126
20,17,0000-01-01 00:00:00,0,31,1.0,4.34657,33.732607,A0:E6:F8:69:9B:D0,1000,524,1.0,7.263547820361415,33.15666546422749,0.20677798986434937,-81.0,2.6628760937957834
21,17,0000-01-01 00:00:00,0,31,1.0,4.34657,33.732607,A0:E6:F8:69:9F:A8,1000,503,2.0,8.136485433945664,32.07229239783894,4.35102338087745e-05,-82.3,5.386093203798093
22,18,0000-01-01 00:00:00,0,31,1.0,7.017328999999999,22.344445999999998,A0:E6:F8:69:F9:DD,1000,569,2.0,7.6902480602030305,22.942882404540125,0.21947769820690155,-94.61538461538461,3.7731533749017596
23,18,0000-01-01 00:00:00,0,31,1.0,7.017328999999999,22.344445999999998,A0:E6:F8:69:F9:A1,1000,552,1.0,8.252173096444572,26.403657531747374,0.35804709792137146,-77.1875,3.8765118018651767
