Unnamed: 0,b_major,b_minor,t_building,t_floor,interval,rssi,testid,timestamp,t_x,t_y,beacon_id,b_floor,b_x,b_y,t_pos,t_num
93,1000,594,31,1,5,-84,1-8,2019-06-05 15:28:39,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,8
94,1000,514,31,1,5,-77,1-8,2019-06-05 15:28:39,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886,1,8
95,1000,531,31,1,5,-68,1-8,2019-06-05 15:28:39,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,8
96,1000,575,31,1,5,-86,1-8,2019-06-05 15:28:40,26.169325,64.530086,A0:E6:F8:69:F4:0D,1.0,29.50762144674296,28.859295811423603,1,8
97,1000,573,31,1,5,-78,1-8,2019-06-05 15:28:40,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,8
98,1000,594,31,1,5,-83,1-8,2019-06-05 15:28:40,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,8
99,1000,531,31,1,5,-68,1-8,2019-06-05 15:28:41,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,8
100,1000,573,31,1,5,-79,1-8,2019-06-05 15:28:41,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,8
101,1000,531,31,1,5,-69,1-8,2019-06-05 15:28:41,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,8
102,1000,541,31,1,5,-92,1-8,2019-06-05 15:28:42,26.169325,64.530086,A0:E6:F8:69:F9:CE,1.0,29.260466244656378,9.09139753922206,1,8
103,1000,575,31,1,5,-87,1-8,2019-06-05 15:28:42,26.169325,64.530086,A0:E6:F8:69:F4:0D,1.0,29.50762144674296,28.859295811423603,1,8
104,1000,573,31,1,5,-79,1-8,2019-06-05 15:28:42,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,8
105,1000,594,31,1,5,-79,1-8,2019-06-05 15:28:43,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,8
106,1000,594,31,1,5,-84,1-9,2019-06-05 15:28:48,26.169325,64.530086,A0:E6:F8:69:9C:00,1.0,29.384043845699672,43.593132591802295,1,9
107,1000,573,31,1,5,-78,1-9,2019-06-05 15:28:48,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,9
108,1000,531,31,1,5,-68,1-9,2019-06-05 15:28:48,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,9
109,1000,514,31,1,5,-76,1-9,2019-06-05 15:28:49,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886,1,9
110,1000,514,31,1,5,-77,1-9,2019-06-05 15:28:49,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886,1,9
111,1000,575,31,1,5,-87,1-9,2019-06-05 15:28:49,26.169325,64.530086,A0:E6:F8:69:F4:0D,1.0,29.50762144674296,28.859295811423603,1,9
112,1000,573,31,1,5,-78,1-9,2019-06-05 15:28:50,26.169325,64.530086,A0:E6:F8:69:F1:0C,1.0,29.50762144674296,52.3106532787198,1,9
113,1000,531,31,1,5,-68,1-9,2019-06-05 15:28:50,26.169325,64.530086,A0:E6:F8:69:F8:88,1.0,26.04743432077296,66.67614347374641,1,9
114,1000,514,31,1,5,-77,1-9,2019-06-05 15:28:50,26.169325,64.530086,A0:E6:F8:69:9B:27,1.0,7.757860905176678,59.80035305021886,1,9
