testid,552,575,514,531,539,541,594,503,573,500,524,511,589,509,522,569,508,t_x,t_y
3-17,0,0,-75.5,-76.0,0,0,0,0,-85.0,0,0,0,0,0,0,0,0,22.200979,64.154583
3-18,0,0,-76.0,-75.0,0,0,-91.0,0,-83.0,0,0,0,0,0,0,0,0,22.200978999999997,64.154583
3-19,0,0,-75.5,-76.0,0,0,0,0,-81.75,0,0,0,0,0,0,0,0,22.200978999999993,64.154583
3-20,0,0,-76.0,-76.25,0,0,-92.0,0,0,0,0,0,0,0,0,0,0,22.200978999999997,64.154583
3-21,0,0,-77.33333333333333,-76.0,0,0,-91.33333333333333,0,-82.66666666666667,0,0,0,0,0,0,0,0,22.200978999999997,64.154583
3-22,0,0,-75.66666666666667,-75.5,0,0,-92.0,0,-82.0,0,0,0,0,0,0,0,0,22.200978999999997,64.154583
3-23,0,0,-75.75,-75.66666666666667,0,0,-92.0,0,-82.0,0,0,0,0,0,0,0,0,22.200978999999997,64.154583
3-24,0,0,-76.25,-75.66666666666667,0,0,-95.0,0,-81.75,0,0,0,0,0,0,0,0,22.200978999999993,64.154583
3-25,0,0,-79.0,-75.5,0,0,-92.0,0,-82.0,0,0,0,0,0,0,0,0,22.200978999999993,64.154583
4-1,0,0,-78.0,-75.0,0,0,-91.0,0,-82.66666666666667,0,0,0,0,0,0,0,0,21.823040999999996,61.526064000000005
4-2,0,0,-76.0,-74.5,0,0,-90.0,0,-81.33333333333333,0,0,0,0,0,0,0,0,21.823040999999996,61.526064000000005
4-3,0,0,-73.0,-75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.823041,61.526064
4-4,0,0,-75.75,-76.0,0,0,0,0,-82.0,0,0,0,0,0,0,0,0,21.823040999999996,61.526064000000005
4-5,0,0,-76.0,-74.66666666666667,0,0,-92.0,0,-81.5,0,0,0,0,0,0,0,0,21.823040999999996,61.526064000000005
4-6,0,0,-76.0,-75.66666666666667,0,0,-90.75,0,-81.75,0,0,0,0,0,0,0,0,21.823040999999993,61.52606400000001
4-7,0,-97.0,-75.25,-75.0,0,0,-92.0,0,-81.5,0,0,0,0,0,0,0,0,21.823040999999993,61.52606400000001
4-8,0,0,-75.66666666666667,-75.66666666666667,0,0,-91.5,0,-81.66666666666667,0,0,0,0,0,0,0,0,21.823040999999993,61.52606400000001
4-9,0,0,-75.0,-74.0,0,0,0,0,-82.33333333333333,0,0,0,0,0,0,0,0,21.823041,61.526064
4-10,0,-97.0,-75.5,-75.5,0,0,-91.0,0,-82.0,0,0,0,0,0,0,0,0,21.823040999999993,61.52606400000001
4-11,0,0,-76.66666666666667,-74.33333333333333,0,0,-90.5,0,-82.0,0,0,0,0,0,0,0,0,21.823040999999993,61.52606400000001
4-12,0,0,-76.75,-74.66666666666667,0,0,-90.5,0,0,0,0,0,0,0,0,0,0,21.823040999999996,61.526064000000005
4-13,0,0,-76.25,-74.0,0,0,-90.0,0,-82.66666666666667,0,0,0,0,0,0,0,0,21.823040999999996,61.526064000000005
4-14,0,0,-76.0,-75.0,0,0,-93.0,0,-81.66666666666667,0,0,0,0,0,0,0,0,21.823040999999996,61.526064000000005
4-15,0,0,-76.0,-74.25,0,0,-91.0,0,-82.0,0,0,0,0,0,0,0,0,21.823040999999996,61.526064000000005
4-16,0,0,-77.0,-75.0,0,0,-91.0,0,-80.33333333333333,0,0,0,0,0,0,0,0,21.823040999999996,61.526064000000005
